"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
"Jalen Tolbert","DAL","46.6","601.6","4.1","0.0","0.0","0.0","0.2","84.6"
"Donovan Peoples-Jones","CLE","43.3","620.9","3.4","0.0","0.0","0.0","0.2","82.2"
"Parris Campbell","IND","49.1","598.1","3.7","0.5","3.3","0.0","0.1","82.1"
"Rondale Moore","ARI","51.6","513.2","2.6","16.5","103.0","0.8","0.4","81.3"
"Julio Jones","TB","43.8","584.0","3.8","0.0","0.0","0.0","0.2","81.1"
"Joshua Palmer","LAC","46.9","550.8","4.3","0.0","0.0","0.0","0.2","80.2"
"K.J. Hamler","DEN","44.1","578.4","3.4","2.6","19.8","0.0","0.2","79.8"
"Skyy Moore","KC","41.2","543.1","4.0","1.0","6.8","0.0","0.1","78.8"
"Alec Pierce","IND","41.2","559.5","3.7","0.0","0.0","0.0","0.2","77.9"
"Sterling Shepard","NYG","54.5","584.5","3.1","0.0","0.0","0.0","0.2","77.0"
"Randall Cobb","GB","42.0","534.1","3.8","0.5","3.0","0.0","0.2","76.1"
"K.J. Osborn","MIN","40.8","506.7","3.7","0.0","0.0","0.0","0.1","72.4"
"Kendrick Bourne","NE","38.4","475.0","3.3","5.6","36.7","0.1","0.2","71.3"
"Zay Jones","JAC","42.3","510.4","3.1","0.0","0.0","0.0","0.2","69.2"
"A.J. Green","ARI","35.9","511.3","2.8","0.0","0.0","0.0","0.1","67.7"
"Nick Westbrook-Ikhine","TEN","38.9","484.0","3.3","0.0","0.0","0.0","0.2","67.6"
"Bryan Edwards","ATL","35.7","519.7","2.5","0.3","1.8","0.0","0.1","67.1"
"Cedrick Wilson Jr.","MIA","39.9","482.5","3.2","0.0","0.0","0.0","0.3","67.0"
"Wan'Dale Robinson","NYG","40.0","456.7","2.5","6.7","39.3","0.1","0.2","64.9"
"Isaiah McKenzie","BUF","41.5","417.3","3.0","6.8","40.3","0.3","0.3","64.8"
"Romeo Doubs","GB","34.6","445.7","3.3","0.0","0.0","0.0","0.1","64.2"
"Devin Duvernay","BAL","39.4","445.6","2.3","4.9","33.8","0.1","0.2","62.2"
"Christian Watson","GB","31.6","403.5","3.2","1.3","8.2","0.1","0.1","60.1"
"Jameson Williams","DET","32.3","440.6","2.7","0.0","0.0","0.0","0.2","59.6"
"Byron Pringle","CHI","34.8","446.7","2.5","0.0","0.0","0.0","0.2","59.1"
"James Washington","DAL","28.0","405.5","3.0","0.0","0.0","0.0","0.1","58.5"
"Sammy Watkins","GB","32.3","417.6","2.6","0.5","3.2","0.0","0.1","57.5"
"Jamison Crowder","BUF","37.0","390.7","2.5","2.5","16.3","0.3","0.1","56.7"
"Nelson Agholor","NE","28.7","400.2","2.2","1.1","6.6","0.1","0.1","53.8"
"Velus Jones Jr.","CHI","29.9","385.3","2.2","1.0","6.3","0.0","0.2","52.0"
"Freddie Swain","MIA","29.5","374.3","2.4","0.0","0.0","0.0","0.0","51.7"
"Quez Watkins","PHI","28.4","391.5","2.1","0.0","0.0","0.0","0.1","51.4"
"David Bell","CLE","32.2","380.4","2.1","1.0","7.8","0.0","0.1","51.3"
"Olamide Zaccheaus","ATL","28.8","373.4","1.9","0.3","1.5","0.0","0.1","48.6"
"Laviska Shenault Jr.","CAR","29.9","313.5","2.0","6.6","34.9","0.1","0.1","47.2"
"Jauan Jennings","SF","28.0","324.3","2.2","0.0","0.0","0.0","0.1","45.4"
"Braxton Berrios","NYJ","32.7","327.4","1.6","3.0","18.7","0.1","0.2","44.8"
"Dee Eskridge","SEA","24.8","314.8","1.6","4.4","28.8","0.1","0.2","44.4"
"Keelan Cole Sr.","LV","24.1","323.9","2.0","0.0","0.0","0.0","0.0","44.3"
"Ty Montgomery","NE","14.8","133.1","0.8","29.1","170.4","1.4","0.0","43.3"
"Chris Conley","HOU","24.5","297.2","2.0","0.0","0.0","0.0","0.0","41.8"
"Jalen Guyton","LAC","19.5","277.9","1.8","3.7","24.6","0.1","0.1","41.5"
"Josh Reynolds","DET","22.2","300.7","1.9","0.0","0.0","0.0","0.1","41.3"
"Terrace Marshall Jr.","CAR","23.7","293.6","1.9","0.0","0.0","0.0","0.1","40.9"
"James Proche II","BAL","23.3","284.3","1.6","0.0","0.0","0.0","0.1","37.9"
"Mack Hollins","LV","19.8","258.0","2.0","0.2","0.0","0.0","0.1","37.7"
